Vv_m2,2000,1000,VIT_11s0016g04540
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_10s0003g00620,2067,1.0000,Lipase GDSL,,,,
2,VIT_13s0067g00400,2067,1.0000,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
3,VIT_17s0000g00130,2064,1.0000,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
4,VIT_19s0090g00710,2067,1.0000,No hit,,,,
5,VIT_03s0063g01880,2061,1.0000,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
6,VIT_02s0025g02620,2061,1.0000,BDG1 (BODYGUARD1) hydrolase,,,,
7,VIT_00s0313g00040,2070,1.0000,PAS2 (PASTICCINO 2),K10703,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
8,VIT_10s0003g02120,2072,0.9995,Lipase GDSL,,,,
9,VIT_11s0065g00170,2066,0.9995,Squamosa promoter-binding protein 2 (SPL2),SPL2_3,,vv60055SBP,
10,VIT_09s0018g01650,2070,0.9986,Wrinkled1 (AP2/ERBP),WRINKLED1_1,VvAP2-06,vv30008Ethylene_signaling,vv60003AP2_EREBP
11,VIT_02s0025g04550,2056,0.9966,Glucose-methanol-choline (GMC) oxidoreductase,E1_1_99_1,,vv10260Glycine_serine_and_threonine_metabolism,
12,VIT_18s0001g14660,2066,0.9957,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
13,VIT_12s0059g01590,2057,0.9947,Lipase GDSL,,,,
14,VIT_01s0026g00570,2041,0.9917,Bet v I allergen,,,,
15,VIT_09s0002g03140,2035,0.9869,Lipase GDSL,,,,
16,VIT_13s0074g00390,2031,0.9816,CYP77A2,,,,
17,VIT_05s0102g00370,2029,0.9797,Receptor protein kinase (ACR4),,,,
18,VIT_03s0038g01830,2017,0.9753,Proline-rich protein 4,,,,
19,VIT_08s0040g02250,2023,0.9745,No hit,,,,
20,VIT_18s0001g14910,2004,0.9719,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
21,VIT_02s0025g03320,2006,0.9696,CYP86A2,,,,
22,VIT_05s0049g01400,2000,0.9681,Alcohol oxidase,E1_1_3_13,,vv10680Methane_metabolism,
23,VIT_18s0001g13080,2000,0.9681,Unknown protein,,,,
24,VIT_04s0023g02810,1999,0.9676,Aldehyde dehydrogenase 3B1,E1_2_1_3,vv10561Glycerolipid_metabolism,vv10010Glycolysis,vv10071Fatty_acid_metabolism
25,VIT_07s0005g01670,1992,0.9614,No hit,,,,
26,VIT_12s0059g02310,1985,0.9580,PDF2 (protodermal factor2),PDF2_4,VvHB44,vv60034HB,
27,VIT_04s0008g03600,1982,0.9570,Tocopherol cyclase,K09834,,vv10100Biosynthesis_of_steroids,
28,VIT_13s0067g00730,1968,0.9516,Carboxylic ester hydrolase,E3_1_1_1,,,
29,VIT_13s0106g00250,1963,0.9479,Carboxylic ester hydrolase,E3_1_1_1,,,
30,VIT_00s0399g00020,1948,0.9470,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
31,VIT_12s0059g01870,1953,0.9453,GH3-like protein,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
32,VIT_13s0019g01260,1951,0.9434,Enoyl reductase,K10258,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
33,VIT_04s0008g05440,1934,0.9348,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
34,VIT_10s0071g00270,1922,0.9299,Abscisic acid-insensitive protein 3 (ABI3),ABI3_1,,vv30001ABA_signaling,vv30003Auxin_signaling
35,VIT_00s0207g00010,1912,0.9237,Anthranilate N-benzoyltransferase protein 1,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
36,VIT_17s0000g10060,1904,0.9220,Lipase GDSL,,,,
37,VIT_02s0012g01660,1922,0.9183,ATPase PGP2 (P-glycoprotein 2),PGP2,,vv52010ABC_transporters,
38,VIT_00s0286g00130,1898,0.9169,S-locus lectin protein kinase,,,,
39,VIT_11s0052g00410,1871,0.9061,Allyl alcohol dehydrogenase,,,,
40,VIT_11s0037g01210,1849,0.8989,Eceriferum 1 (CER1 protein) Sterol desaturase,,,,
