Vv_m2,2000,1000,VIT_02s0012g01660
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_13s0067g03890,2057,1.0000,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
2,VIT_00s0207g00010,2066,1.0000,Anthranilate N-benzoyltransferase protein 1,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
3,VIT_14s0006g02990,2062,1.0000,3-ketoacyl-CoA synthase,,,,
4,VIT_02s0025g04550,2084,1.0000,Glucose-methanol-choline (GMC) oxidoreductase,E1_1_99_1,,vv10260Glycine_serine_and_threonine_metabolism,
5,VIT_04s0008g06300,2068,1.0000,Leucine-rich repeat family,,,,
6,VIT_02s0087g00630,2058,0.9985,Alcohol oxidase,E1_1_3_13,,vv10680Methane_metabolism,
7,VIT_05s0020g01820,2069,0.9976,Integral membrane family protein UPF0497,,,,
8,VIT_12s0059g01870,2061,0.9976,GH3-like protein,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
9,VIT_14s0066g00400,2056,0.9976,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
10,VIT_00s0532g00070,2068,0.9961,CRK10 (cysteine-rich RLK10); kinase,,,,
11,VIT_06s0061g00240,2061,0.9957,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
12,VIT_13s0074g00390,2055,0.9956,CYP77A2,,,,
13,VIT_12s0059g01590,2061,0.9947,Lipase GDSL,,,,
14,VIT_06s0061g00230,2059,0.9947,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
15,VIT_01s0010g01870,2063,0.9937,Salicylic acid-induced fragment 1 protein,,,,
16,VIT_00s0399g00020,2050,0.9903,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
17,VIT_04s0023g02810,2063,0.9899,Aldehyde dehydrogenase 3B1,E1_2_1_3,vv10561Glycerolipid_metabolism,vv10010Glycolysis,vv10071Fatty_acid_metabolism
18,VIT_03s0063g01880,2053,0.9899,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
19,VIT_16s0039g00010,2045,0.9884,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
20,VIT_14s0066g00300,2045,0.9874,Unknown,,,,
21,VIT_04s0008g03950,2028,0.9759,RD22,,,,
22,VIT_11s0037g01400,1997,0.9708,Zinc finger (C3HC4-type ring finger),ZFC3HC4_80,,vv60078Other_zf-C3HC4,
23,VIT_04s0008g02250,1996,0.9703,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
24,VIT_14s0030g01950,1995,0.9656,Transferase,,,,
25,VIT_11s0037g01210,1987,0.9636,Eceriferum 1 (CER1 protein) Sterol desaturase,,,,
26,VIT_18s0001g14910,1991,0.9604,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
27,VIT_16s0039g01670,1967,0.9525,Cinnamoyl-CoA reductase,E1_2_1_44,,vv10940Phenylpropanoid_biosynthesis,
28,VIT_08s0007g09000,1962,0.9487,Glycerol-3-phosphate dehydrogenase,E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
29,VIT_09s0002g03140,1949,0.9434,Lipase GDSL,,,,
30,VIT_09s0018g01650,1945,0.9414,Wrinkled1 (AP2/ERBP),WRINKLED1_1,VvAP2-06,vv30008Ethylene_signaling,vv60003AP2_EREBP
31,VIT_15s0048g02720,1948,0.9361,fatty acid elongase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
32,VIT_18s0001g14790,1929,0.9314,Lipase 3 (EXL3) family II extracellular,,,,
33,VIT_13s0019g01260,1928,0.9314,Enoyl reductase,K10258,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
34,VIT_08s0040g02820,1928,0.9256,Unknown protein,,,,
35,VIT_17s0000g00130,1916,0.9229,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
36,VIT_16s0050g00830,1895,0.9217,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
37,VIT_11s0016g04540,1908,0.9213,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
38,VIT_18s0001g12000,1876,0.9076,Geranylgeranyl pyrophosphate synthetase 1  chloroplast precursor,E2_5_1_29,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
39,VIT_18s0001g07640,1874,0.9066,Eceriferum 2 (CER2),,,,
40,VIT_17s0000g02700,1870,0.9021,Alpha-dioxygenase 2,K10529,,vv10592alpha-Linolenic_acid_metabolism,
41,VIT_00s0286g00130,1856,0.9005,S-locus lectin protein kinase,,,,
42,VIT_15s0046g03240,1863,0.8991,Unknown protein,,,,
43,VIT_18s0001g07020,1853,0.8982,No hit,,,,
44,VIT_00s0456g00040<br>VIT_00s0374g00030,1849,0.8945,
45,VIT_05s0029g00480,1836,0.8913,Eceriferum 2 (CER2),,,,
46,VIT_18s0072g00580<br>VIT_11s0065g00040,1835,0.8891,
47,VIT_03s0038g04210,1808,0.8824,Phototropin-2,K08282,,vv50101Channels_and_pores,
48,VIT_08s0056g00800,1810,0.8769,Myb domain protein 60,MYB60,MYB60,vv60044MYB,
49,VIT_06s0004g02640,1788,0.8659,Receptor protein kinase PERK1,,,,
50,VIT_18s0122g01280,1784,0.8581,Niemann-Pick C1 protein precursor,NPC1,,vv50121Porters_cat_1_to_6,
51,VIT_00s0429g00040,1762,0.8558,Aspartic proteinase nepenthesin-1 precursor,E3_4_23_12,,,
52,VIT_03s0038g01830,1763,0.8525,Proline-rich protein 4,,,,
53,VIT_09s0002g03050,1740,0.8459,Lipase GDSL,,,,
54,VIT_13s0067g00730,1738,0.8416,Carboxylic ester hydrolase,E3_1_1_1,,,
55,VIT_13s0074g00660,1729,0.8389,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
56,VIT_05s0049g01400,1720,0.8366,Alcohol oxidase,E1_1_3_13,,vv10680Methane_metabolism,
57,VIT_04s0008g03930,1722,0.8347,RD22,,,,
58,VIT_14s0128g00510<br>VIT_14s0128g00550,1727,0.8327,
59,VIT_08s0007g00570,1715,0.8317,WRKY DNA-binding protein 49,WRKY49,VvWRKY27,vv60066WRKY,
60,VIT_14s0006g02530,1705,0.8233,Non-specific lipid-transfer protein 2 (LTP 2),,,,
61,VIT_18s0001g14660,1681,0.8208,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
62,VIT_13s0067g00400,1665,0.8051,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
63,VIT_15s0046g01640,1659,0.8046,Abl interactor protein 1 (ABIL1),,,,
64,VIT_11s0052g00800,1662,0.8037,Protein kinase family,,,,
65,VIT_11s0065g00130,1653,0.8020,Taxane 10-beta-hydroxylase,E1_14_13_76,,vv10904Diterpenoid_biosynthesis,
66,VIT_17s0000g10060,1646,0.7983,Lipase GDSL,,,,
67,VIT_02s0025g02620,1643,0.7968,BDG1 (BODYGUARD1) hydrolase,,,,
68,VIT_03s0088g01150,1648,0.7935,Squalene monooxygenase,E1_14_99_7,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
69,VIT_05s0102g00370,1649,0.7928,Receptor protein kinase (ACR4),,,,
70,VIT_15s0046g00650,1624,0.7907,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
71,VIT_14s0108g01080,1604,0.7760,Myb domain protein 106,MYB106_2,MYB141,vv60044MYB,
72,VIT_12s0028g03480,1598,0.7727,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
73,VIT_08s0040g03400,1599,0.7717,Short-chain dehydrogenase/reductase,,,,
74,VIT_00s1860g00010,1596,0.7699,No hit,,,,
75,VIT_09s0018g01340<br>VIT_09s0018g01360,1594,0.7689,
76,VIT_12s0059g02310,1564,0.7603,PDF2 (protodermal factor2),PDF2_4,VvHB44,vv60034HB,
77,VIT_07s0005g01790,1576,0.7595,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
78,VIT_10s0003g00620,1558,0.7508,Lipase GDSL,,,,
79,VIT_14s0060g01940,1558,0.7508,Epoxide hydrolase,E3_3_2_10,,,
80,VIT_09s0002g02980,1544,0.7455,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
81,VIT_15s0046g00480,1527,0.7427,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
82,VIT_18s0001g06840,1537,0.7418,Peroxidase GvPx2b class III,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
83,VIT_04s0043g00560,1519,0.7377,DD1A protein,,,,
84,VIT_15s0046g02410,1522,0.7363,Aquaporin TMP-C,TMPC,,vv50101Channels_and_pores,
85,VIT_08s0058g01210,1493,0.7230,Non-specific lipid transfer protein LTP1,LTP1,,,
86,VIT_03s0038g01410,1469,0.7145,Aquaporin PIP PIP1A,PIP1A,,vv50101Channels_and_pores,
87,VIT_10s0116g00680,1472,0.7091,PDF2 (protodermal factor2),PDF2_2,VvHB35,vv60034HB,
88,VIT_11s0016g01310,1468,0.7075,TT2 (transparent testa 2),TT2_5,MYBPA4,vv44110Cell_cycle,vv60044MYB
89,VIT_14s0060g00900,1460,0.6992,Unknown protein,,,,
90,VIT_18s0001g08800,1432,0.6965,Lecithine cholesterol acyltransferase-like protein,E2_3_1_43,,vv10564Glycerophospholipid_metabolism,
91,VIT_08s0007g02000,1447,0.6957,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
92,VIT_01s0026g00570,1434,0.6934,Bet v I allergen,,,,
93,VIT_12s0034g01140,1432,0.6928,Plastocyanin domain-containing protein,K02638,,vv10195Photosynthesis,vv50113Thylakoid_targeting_pathway
94,VIT_15s0046g00500,1436,0.6910,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
95,VIT_06s0004g01750,1429,0.6903,Polygalacturonase inhibitor protein,PGIP,,,
96,VIT_18s0001g14810,1416,0.6821,Lipase 3 (EXL3) family II extracellular,,,,
97,VIT_07s0031g01680,1406,0.6809,CYP86A1,,,,
98,VIT_06s0004g01510,1402,0.6773,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
99,VIT_13s0019g04260,1397,0.6729,Monoglyceride lipase,E3_1_1_23,,vv10561Glycerolipid_metabolism,
100,VIT_07s0005g01670,1390,0.6725,No hit,,,,
101,VIT_00s0301g00110,1394,0.6718,Bifunctional nuclease,,,,
102,VIT_02s0012g02030,1389,0.6691,Homeobox-7,VVHB7_1,VvHB09,vv60034HB,
103,VIT_17s0000g04120,1381,0.6659,Histone deacetylase HDA15,HDA15,,vv44110Cell_cycle,
104,VIT_11s0016g02050,1369,0.6623,Nucleosome assembly protein (NAP1),,,,
105,VIT_11s0037g00230,1351,0.6561,Cyclic nucleotide gated channel 5,K05391_CNGC5,,vv34626Plant-pathogen_interaction,vv50101Channels_and_pores
106,VIT_12s0028g02970,1340,0.6486,MLO1,K08472,,,
107,VIT_18s0001g13080,1344,0.6412,Unknown protein,,,,
108,VIT_00s0386g00050,1317,0.6384,Xyloglucan endotransglucosylase/hydrolase precursor,E2_4_1_207,,vv40006Cell_wall,
109,VIT_06s0004g02750,1321,0.6379,Auxin response factor 16,ARF16,,vv30003Auxin_signaling,vv60004ARF
110,VIT_01s0137g00410,1307,0.6363,CYP86A2,,,,
111,VIT_14s0006g02570,1281,0.6203,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
112,VIT_06s0004g06890,1271,0.6105,Potassium transporter (KUP1),KUP1,,vv50125Porters_cat_66_to_94,
113,VIT_10s0003g03330,1253,0.6100,Receptor-like serine-threonine protein kinase,,,,
114,VIT_10s0116g01880,1250,0.6050,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
115,VIT_09s0002g06810,1247,0.6024,Binding,,,,
116,VIT_00s1206g00010,1247,0.6001,Aspartic proteinase nepenthesin-1 precursor,E3_4_23_12,,,
117,VIT_14s0108g00510,1211,0.5879,Nucleosome assembly protein (NAP-related) NRP2,,,,
118,VIT_06s0004g08180,1213,0.5866,Translation initiation factor eIF-2 beta subunit,K03238,,vv23013RNA_transport,
119,VIT_01s0010g02220,1194,0.5788,Zinc finger (C3HC4-type ring finger),ZFC3HC4_200,,vv60078Other_zf-C3HC4,
120,VIT_01s0137g00180,1198,0.5779,B-keto acyl reductase,,,,
121,VIT_00s0762g00010,1173,0.5667,S-locus lectin protein kinase family,,,,
122,VIT_14s0068g01440,1166,0.5663,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
123,VIT_00s0413g00010,1148,0.5589,Laccase (diphenol oxidase) family protein,E1_10_3_2,,vv11000Single_reactions,vv50109Incompletely_characterized_transport_systems
124,VIT_00s0762g00030,1143,0.5557,S-locus lectin protein kinase,,,,
125,VIT_00s0218g00220,1143,0.5551,UDP-glucoronosyl/UDP-glucosyl transferase,,,,
126,VIT_08s0007g07240,1138,0.5519,Armadillo helical,,,,
127,VIT_03s0017g01280,1133,0.5516,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
128,VIT_10s0116g00410,1135,0.5496,Gibberellin 2-beta-dioxygenase 7,E1_14_11_13,,vv10904Diterpenoid_biosynthesis,
129,VIT_08s0058g01230,1128,0.5478,Non-specific lipid-transfer protein,,,,
130,VIT_18s0001g14780,1115,0.5400,Lipase 3 (EXL3) family II extracellular,,,,
131,VIT_08s0007g03360,1107,0.5358,EMB1345 (embryo defective 1345),,,,
132,VIT_02s0241g00060,1104,0.5331,Unknown protein,,,,
133,VIT_14s0068g00400,1107,0.5309,Hydrolase  alpha/beta fold family,,,,
134,VIT_14s0128g00160,1100,0.5304,Protein kinase CDG1,,,,
135,VIT_13s0074g00680,1092,0.5293,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
136,VIT_05s0049g00300,1082,0.5245,1-aminocyclopropane-1-carboxylate oxidase homolog 1,E1_14_17_4,,vv10640Propanoate_metabolism,vv30008Ethylene_signaling
137,VIT_18s0072g01000,1082,0.5232,Dihydrolipoamide S-acetyltransferase,E2_3_1_12,,vv10010Glycolysis,vv10252Alanine_and_aspartate_metabolism
138,VIT_12s0142g00640,1069,0.5199,FLS2 (flagellin-sensitive 2),K13420,,vv34626Plant-pathogen_interaction,
139,VIT_05s0020g04540,1070,0.5167,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
140,VIT_08s0007g02800,1072,0.5141,Pro-X carboxypeptidase Lysosomal,E3_4_16_2,,,
141,VIT_00s0484g00030,1061,0.5116,ARK3 (Arabidopsis Receptor Kinase 3),,,,
142,VIT_14s0060g01090,1047,0.5083,LNG1 (LONGIFOLIA1),,,,
143,VIT_08s0105g00400,1028,0.4969,GT-1-like transcription factor,GT1L,,vv60062Trihelix,
144,VIT_01s0011g04760,1025,0.4961,Myb domain protein 4,MYB4_2,MYBC2-L1,vv60044MYB,
145,VIT_15s0046g02400,1025,0.4956,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
146,VIT_05s0020g03330,1025,0.4954,Heat shock protein 70,K03283,,vv23040Spliceosome,vv24141Protein_processing_in_endoplasmic_reticulum
147,VIT_14s0060g02340,1014,0.4944,Heat shock protein 70,K03283,,vv23040Spliceosome,vv24141Protein_processing_in_endoplasmic_reticulum
