Vv_m2,2000,1000,VIT_14s0060g01090
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_19s0090g00790,2063,1.0000,F-box family protein,,,,
2,VIT_14s0108g01080,2092,1.0000,Myb domain protein 106,MYB106_2,MYB141,vv60044MYB,
3,VIT_12s0059g00190,2064,0.9995,Beta-expansin (EXPB3),EXPB3,,vv30003Auxin_signaling,
4,VIT_15s0021g02300,2058,0.9947,Squamosa promoter-binding protein 8 (SPL8),SPL8,,vv60055SBP,
5,VIT_06s0004g01550,2054,0.9904,Phosphoribosylanthranilate transferase,E2_4_2_18,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
6,VIT_18s0001g00280,2051,0.9889,OPCL1 (OPC-8:0 COA ligase1),K10526,,vv10592alpha-Linolenic_acid_metabolism,vv50104Group_translocators
7,VIT_06s0009g00580,2024,0.9849,Receptor protein kinase,,,,
8,VIT_07s0031g01680,2015,0.9810,CYP86A1,,,,
9,VIT_06s0004g01750,2017,0.9791,Polygalacturonase inhibitor protein,PGIP,,,
10,VIT_00s1314g00010,2028,0.9783,Basic helix-loop-helix (bHLH) family,BHLHDOM_89,,vv60011BHLH,
11,VIT_01s0026g00570,2026,0.9759,Bet v I allergen,,,,
12,VIT_11s0016g05340,2021,0.9749,Ethylene-responsive transcription factor SHINE 3,SHINE3_2,VvERF043,vv30008Ethylene_signaling,vv60003AP2_EREBP
13,VIT_16s0098g01560,2012,0.9729,Glucan endo-1 3-beta-D-glucosidase,E3_2_1_39,,vv10500Starch_and_sucrose_metabolism,
14,VIT_15s0046g02410,2008,0.9710,Aquaporin TMP-C,TMPC,,vv50101Channels_and_pores,
15,VIT_06s0004g06890,2014,0.9692,Potassium transporter (KUP1),KUP1,,vv50125Porters_cat_66_to_94,
16,VIT_00s0361g00090,1999,0.9676,Phototropic-responsive NPH3 protein,,,,
17,VIT_09s0054g01220,1999,0.9671,Cycloartenol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
18,VIT_07s0205g00180,1988,0.9650,Basic helix-loop-helix (bHLH) family,BHLHDOM_30,,vv60011BHLH,
19,VIT_09s0002g02490,1966,0.9558,Dof zinc finger protein 1,ADOF1,,vv60015C2C2-DOF,
20,VIT_03s0063g00360,1965,0.9557,Glycoprotein 3-alpha-L-fucosyltransferase,E2_4_1_214,,vv11030Glycan_structures-biosynthesis1,
21,VIT_01s0010g00710,1969,0.9526,Armadillo/beta-catenin repeat protein / U-box domain-containing protein ,,,,
22,VIT_15s0048g02680,1967,0.9507,Calmodulin-binding region IQD17,,,,
23,VIT_08s0040g01130,1962,0.9465,Serine carboxypeptidase II,,,,
24,VIT_08s0007g08680,1941,0.9418,Unknown protein,,,,
25,VIT_07s0129g01070,1936,0.9353,Leucine-rich repeat protein kinase,,,,
26,VIT_06s0004g03070,1919,0.9325,Zinc finger (C2H2 type) JACKDAW,JACKDAW_1,,vv60017C2H2,
27,VIT_17s0000g05020,1909,0.9276,Squamosa promoter-binding protein 6 (SPL6),SPL6_2,,vv60055SBP,
28,VIT_13s0067g00400,1910,0.9249,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
29,VIT_04s0008g05520,1899,0.9218,Unknown protein,,,,
30,VIT_00s0286g00130,1888,0.9183,S-locus lectin protein kinase,,,,
31,VIT_01s0011g03210,1890,0.9153,Aspartyl protease,E3_4_23_x,,,
32,VIT_17s0000g09270,1893,0.9149,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
33,VIT_16s0039g00570,1884,0.9146,10-deacetylbaccatin III 10-O-acetyltransferase,E2_3_1_167,,vv10904Diterpenoid_biosynthesis,
34,VIT_00s0225g00080,1875,0.9071,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
35,VIT_04s0023g01880,1883,0.9062,Zinc finger homeobox 31,ZFHB31,,vv60068Zf-HD,
36,VIT_19s0090g00770,1864,0.9027,F-box family protein,,,,
37,VIT_05s0049g01400,1853,0.8943,Alcohol oxidase,E1_1_3_13,,vv10680Methane_metabolism,
38,VIT_02s0025g01240,1834,0.8907,UDP-glucuronosyl/UDP-glucosyltransferase,E2_4_1_17,,vv10040Pentose_glucuronate_interconversion,vv10500Starch_and_sucrose_metabolism
39,VIT_10s0003g00560,1836,0.8865,Wuschel homeobox 9,WOX9,VvHB37,vv60034HB,
40,VIT_03s0180g00150,1818,0.8783,Receptor protein kinase,,,,
41,VIT_18s0001g06430,1802,0.8714,Homeobox-leucine zipper protein ATHB-6,ATHB6_2,VvHB62,vv30001ABA_signaling,vv60034HB
42,VIT_01s0011g04850,1810,0.8702,Unknown protein,,,,
43,VIT_14s0068g00090,1790,0.8694,feronia receptor-like kinase,,,,
44,VIT_09s0002g06750,1797,0.8619,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
45,VIT_04s0008g05440,1771,0.8572,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
46,VIT_15s0048g03000,1761,0.8520,GTPase RABA3,K07976,,,
47,VIT_08s0007g07870,1730,0.8439,Basic helix-loop-helix (bHLH) family,BHLHDOM_40,,vv60011BHLH,
48,VIT_01s0137g00410,1745,0.8438,CYP86A2,,,,
49,VIT_13s0067g01410,1732,0.8383,Anthranilate N-hydroxycinnamoyl/benzoyltransferase,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
50,VIT_05s0062g00430,1738,0.8372,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
51,VIT_15s0021g02110,1733,0.8312,AP2 domain-containing transcription factor TINY,TINY_8,VvERF029,vv30008Ethylene_signaling,vv60003AP2_EREBP
52,VIT_03s0063g01880,1704,0.8248,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
53,VIT_00s0373g00030,1711,0.8246,HSL2 (HAESA-like 2),,,,
54,VIT_13s0074g00400,1701,0.8221,PTL (PETAL LOSS),PETAL_LOSS_1,,vv60062Trihelix,
55,VIT_14s0066g01790,1675,0.8107,GASA like,GASAL,,vv30010Gibberellin_signaling,
56,VIT_04s0008g03950,1665,0.8083,RD22,,,,
57,VIT_11s0037g00320,1671,0.8065,Serine carboxypeptidase S10,,,,
58,VIT_09s0002g02220,1670,0.8017,Protein kinase CDG1,,,,
59,VIT_12s0059g00220,1655,0.7999,Epoxide hydrolase,E3_3_2_10,,,
60,VIT_12s0028g02400,1663,0.7991,Leaf senescence protein,,,,
61,VIT_11s0016g03350,1651,0.7991,AP2/EREBP transcription factor TINY2,TINY2_3,,vv30008Ethylene_signaling,vv60003AP2_EREBP
62,VIT_06s0061g00240,1638,0.7959,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
63,VIT_16s0050g02100,1623,0.7879,Disease resistance,,,,
64,VIT_14s0108g00150,1626,0.7878,Calmodulin-binding region IQD28,IQD28,,,
65,VIT_12s0028g01820,1613,0.7777,Aspartate transaminase  mitochondrial,E2_6_1_1,vv10710Carbon_fixation,vv10252Alanine_and_aspartate_metabolism,vv10272Cysteine_metabolism
66,VIT_12s0055g00840,1592,0.7724,Sucrose-6-phosphate phosphatase,E3_1_3_24,,vv10500Starch_and_sucrose_metabolism,
67,VIT_09s0002g03130,1586,0.7673,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
68,VIT_01s0011g04710,1594,0.7660,Copper-binding family protein,,,,
69,VIT_18s0072g00580<br>VIT_11s0065g00040,1562,0.7597,
70,VIT_12s0059g01190,1565,0.7590,Homeobox protein shoot MERISTEMLESS (STM),STM_2,VvHB43,vv50004Auxin_transport,vv60034HB
71,VIT_08s0040g01040,1570,0.7581,Serine carboxypeptidase II,,,,
72,VIT_14s0006g01840,1565,0.7560,Seven in absentia protein,K04506SINAP_1,,vv24120Ubiquitin_mediated_proteolysis,vv60035HMG
73,VIT_05s0077g00530,1563,0.7540,Unknown protein,,,,
74,VIT_18s0001g13500,1531,0.7425,forkhead-associated domain-containing protein,FHADOM_9,,vv60028FHA,
75,VIT_06s0004g01840,1536,0.7410,Cytochrome c-type biogenesis protein,,,,
76,VIT_11s0016g04010,1530,0.7381,Unknown protein,,,,
77,VIT_14s0068g00150,1526,0.7322,No hit,,,,
78,VIT_18s0001g01680,1513,0.7306,Protein kinase,,,,
79,VIT_06s0004g05950,1505,0.7295,Unknown protein,,,,
80,VIT_12s0059g01830,1501,0.7255,Unknown,,,,
81,VIT_00s0179g00360,1491,0.7158,Unknown protein,,,,
82,VIT_11s0016g03980,1470,0.7132,Unknown protein,,,,
83,VIT_08s0007g06270,1469,0.7121,Squamosa promoter-binding protein 9 (SPL9),SPL9_2,,vv60055SBP,
84,VIT_12s0059g01590,1461,0.7099,Lipase GDSL,,,,
85,VIT_06s0004g03130,1464,0.7059,Auxin response factor 4,ARF4,,vv30003Auxin_signaling,vv60004ARF
86,VIT_05s0062g01140,1456,0.7054,Aromatic and neutral transporter 1,ANT1,,vv50123Porters_cat_18_to_29,
87,VIT_13s0073g00140,1465,0.7053,Ovate family protein 13 OFP13,OFP13_2,,vv60086OFP,
88,VIT_04s0023g02840,1444,0.7023,Leucine-rich repeat disease resistance protein,,,,
89,VIT_14s0066g00680,1439,0.6985,Ramosa 2,LBDA_1,,vv60007AS2,
90,VIT_16s0050g01980,1435,0.6976,EIX receptor 2,,,,
91,VIT_12s0028g02240,1426,0.6939,Thioredoxin TTL3 (Tetratricopetide-repeat thioredoxin-like 3),TTL3,,vv50132Primary_active_transporter_cat_A5_to_A8,
92,VIT_18s0001g12020,1431,0.6926,Brassinosteroid Signaling positive regulator (BZR1),BZR1_2,,vv30005Brassinosteroids_signaling,vv60010BES1
93,VIT_13s0106g00250,1424,0.6913,Carboxylic ester hydrolase,E3_1_1_1,,,
94,VIT_10s0003g00620,1398,0.6790,Lipase GDSL,,,,
95,VIT_15s0046g01790,1405,0.6787,ARID/BRIGHT DNA-binding domain-containing protein / ELM2,ARID_4,,vv60005ARID,
96,VIT_05s0020g04020,1412,0.6769,Unknown protein,,,,
97,VIT_11s0016g04540,1370,0.6618,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
98,VIT_08s0040g03120,1363,0.6594,Pseudo-response regulator 7 (APRR7),APRR7_1,,vv30007Cytokinin_signaling,vv34710Circadian_rhythm
99,VIT_05s0062g00520,1361,0.6588,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
100,VIT_15s0046g03240,1361,0.6572,Unknown protein,,,,
