Vv_m2,2000,1000,VIT_08s0007g09000
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_04s0008g04230,2070,1.0000,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
2,VIT_11s0118g00180,2075,1.0000,HHP1 (heptahelical protein 1),,,,
3,VIT_02s0025g03320,2055,1.0000,CYP86A2,,,,
4,VIT_18s0041g00710,2072,1.0000,UDP-glucose: anthocyanidin 5 3-O-glucosyltransferase,RHGT1,,vv10942Anthocyanin_biosynthesis,
5,VIT_15s0046g02400,2074,0.9995,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
6,VIT_08s0056g00800,2055,0.9985,Myb domain protein 60,MYB60,MYB60,vv60044MYB,
7,VIT_09s0018g01650,2072,0.9981,Wrinkled1 (AP2/ERBP),WRINKLED1_1,VvAP2-06,vv30008Ethylene_signaling,vv60003AP2_EREBP
8,VIT_02s0025g04360,2052,0.9918,S-N-methylcoclaurine 3'-hydroxylase,E1_14_13_71,,vv10950Alkaloid_biosynthesis_I,
9,VIT_13s0019g01260,2040,0.9917,Enoyl reductase,K10258,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
10,VIT_01s0026g02120,2057,0.9904,Microtubule end binding protein 1 (EB1),K10436,,vv44810Regulation_of_actin_cytoskeleton,
11,VIT_14s0066g00400,2048,0.9894,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
12,VIT_08s0007g02000,2048,0.9889,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
13,VIT_06s0009g01410,2052,0.9875,No hit,,,,
14,VIT_09s0002g06750,2019,0.9749,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
15,VIT_19s0090g00710,2025,0.9726,No hit,,,,
16,VIT_14s0108g01080,2016,0.9669,Myb domain protein 106,MYB106_2,MYB141,vv60044MYB,
17,VIT_04s0008g05440,1985,0.9655,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
18,VIT_03s0063g01880,1987,0.9636,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
19,VIT_01s0026g00570,1999,0.9574,Bet v I allergen,,,,
20,VIT_16s0098g01740,1986,0.9566,Unknown protein,,,,
21,VIT_15s0048g02720,1978,0.9551,fatty acid elongase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
22,VIT_02s0025g02620,1972,0.9540,BDG1 (BODYGUARD1) hydrolase,,,,
23,VIT_15s0046g02380,1972,0.9522,CYP86A8,,,,
24,VIT_03s0110g00100,1961,0.9510,CYP86A8,,,,
25,VIT_02s0012g01660,1952,0.9471,ATPase PGP2 (P-glycoprotein 2),PGP2,,vv52010ABC_transporters,
26,VIT_04s0023g02880,1950,0.9452,GATA transcription factor 14,GAT14,,vv60016C2C2-GATA,
27,VIT_11s0103g00530,1936,0.9380,Oxysterol binding protein,,,,
28,VIT_01s0137g00510,1943,0.9355,CYP71B10,CYP71B10,,vv10940Phenylpropanoid_biosynthesis,
29,VIT_10s0003g00210,1920,0.9271,Unknown,,,,
30,VIT_05s0020g01980,1925,0.9246,Acyl carrier protein  mitochondrial 3,K02078,,vv50134Primary_active_transporter_cat_D1,
