Vv_m2,2000,1000,VIT_06s0061g00240
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_13s0067g00400,2074,1.0000,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
2,VIT_11s0037g00320,2064,1.0000,Serine carboxypeptidase S10,,,,
3,VIT_17s0000g02700,2062,1.0000,Alpha-dioxygenase 2,K10529,,vv10592alpha-Linolenic_acid_metabolism,
4,VIT_15s0048g00550,2066,0.9990,Abnormal floral organs,AFO_2,,vv60019C2C2-YABBY,
5,VIT_08s0040g03400,2064,0.9990,Short-chain dehydrogenase/reductase,,,,
6,VIT_18s0001g06840,2068,0.9986,Peroxidase GvPx2b class III,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
7,VIT_03s0038g01410,2072,0.9976,Aquaporin PIP PIP1A,PIP1A,,vv50101Channels_and_pores,
8,VIT_02s0012g02030,2060,0.9976,Homeobox-7,VVHB7_1,VvHB09,vv60034HB,
9,VIT_02s0012g01660,2060,0.9957,ATPase PGP2 (P-glycoprotein 2),PGP2,,vv52010ABC_transporters,
10,VIT_01s0026g00570,2053,0.9947,Bet v I allergen,,,,
11,VIT_00s0532g00070,2052,0.9942,CRK10 (cysteine-rich RLK10); kinase,,,,
12,VIT_09s0002g02980,2047,0.9932,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
13,VIT_13s0067g00730,2061,0.9928,Carboxylic ester hydrolase,E3_1_1_1,,,
14,VIT_04s0008g06300,2040,0.9913,Leucine-rich repeat family,,,,
15,VIT_00s1314g00010,2043,0.9903,Basic helix-loop-helix (bHLH) family,BHLHDOM_89,,vv60011BHLH,
16,VIT_12s0059g01590,2038,0.9884,Lipase GDSL,,,,
17,VIT_18s0166g00080,2042,0.9879,ABC transporter G member 4,K05680,,vv52010ABC_transporters,
18,VIT_00s0218g00220,2036,0.9793,UDP-glucoronosyl/UDP-glucosyl transferase,,,,
19,VIT_01s0011g04010,2026,0.9792,Catalytic,,,,
20,VIT_07s0005g05520,2019,0.9777,Pectate lyase,E4_2_2_2,,vv40006Cell_wall,
21,VIT_14s0066g00300,2024,0.9745,Unknown,,,,
22,VIT_08s0007g02000,1988,0.9650,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
23,VIT_04s0008g05520,1997,0.9638,Unknown protein,,,,
24,VIT_12s0028g01850,1982,0.9612,Receptor kinase TRKe,,,,
25,VIT_09s0054g01220,1981,0.9612,Cycloartenol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
26,VIT_13s0074g00450,1985,0.9599,DEMETER protein (DME),,,,
27,VIT_05s0051g00330,1992,0.9586,F-box domain containing protein,,,,
28,VIT_13s0067g03890,1949,0.9475,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
29,VIT_11s0016g05340,1938,0.9426,Ethylene-responsive transcription factor SHINE 3,SHINE3_2,VvERF043,vv30008Ethylene_signaling,vv60003AP2_EREBP
30,VIT_15s0046g03240,1934,0.9375,Unknown protein,,,,
31,VIT_14s0066g02270,1940,0.9363,Endonuclease/exonuclease/phosphatase family protein,E3_1_30_x,,,
32,VIT_12s0059g01870,1926,0.9354,GH3-like protein,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
33,VIT_01s0010g02220,1912,0.9282,Zinc finger (C3HC4-type ring finger),ZFC3HC4_200,,vv60078Other_zf-C3HC4,
34,VIT_14s0006g02530,1920,0.9266,Non-specific lipid-transfer protein 2 (LTP 2),,,,
35,VIT_09s0002g03130,1917,0.9247,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
36,VIT_17s0000g00130,1914,0.9237,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
37,VIT_01s0010g01870,1898,0.9218,Salicylic acid-induced fragment 1 protein,,,,
