Vv_m2,2000,1000,VIT_17s0000g10060
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_15s0046g02400,2071,1.0000,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
2,VIT_13s0019g01260,2069,1.0000,Enoyl reductase,K10258,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
3,VIT_06s0009g02640,2073,1.0000,Hydroxymethylglutaryl-CoA lyase,E4_1_3_4,,vv10072Synthesis_and_degradation_of_ketone_bodies,vv10280Valine_leucine_and_isoleucine_degradation
4,VIT_08s0056g00260,2068,1.0000,Harpin-induced protein,,,,
5,VIT_03s0088g01150,2070,1.0000,Squalene monooxygenase,E1_14_99_7,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
6,VIT_18s0001g14660,2072,1.0000,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
7,VIT_02s0025g02620,2074,0.9995,BDG1 (BODYGUARD1) hydrolase,,,,
8,VIT_02s0025g01190,2067,0.9995,Extra-large G-protein (XLG1),,,,
9,VIT_02s0025g04550,2078,0.9981,Glucose-methanol-choline (GMC) oxidoreductase,E1_1_99_1,,vv10260Glycine_serine_and_threonine_metabolism,
10,VIT_00s0207g00010,2071,0.9981,Anthranilate N-benzoyltransferase protein 1,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
11,VIT_04s0023g02810,2079,0.9976,Aldehyde dehydrogenase 3B1,E1_2_1_3,vv10561Glycerolipid_metabolism,vv10010Glycolysis,vv10071Fatty_acid_metabolism
12,VIT_11s0118g00180,2065,0.9976,HHP1 (heptahelical protein 1),,,,
13,VIT_18s0001g14910,2048,0.9951,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
14,VIT_16s0039g00010,2057,0.9928,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
15,VIT_14s0128g00160,2047,0.9856,Protein kinase CDG1,,,,
16,VIT_13s0019g04260,2019,0.9773,Monoglyceride lipase,E3_1_1_23,,vv10561Glycerolipid_metabolism,
17,VIT_02s0025g03320,2003,0.9700,CYP86A2,,,,
18,VIT_11s0052g01600,1991,0.9693,UDP-glucose flavonoid 3-O-glucosyltransferase 7,E2_4_1_91,,vv10941Flavonoid_biosynthesis,
19,VIT_17s0000g00130,2015,0.9669,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
20,VIT_09s0002g03140,1979,0.9584,Lipase GDSL,,,,
21,VIT_12s0059g01870,1978,0.9551,GH3-like protein,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
22,VIT_03s0038g01960,1984,0.9529,Proline-rich family protein,,,,
23,VIT_09s0002g03050,1966,0.9447,Lipase GDSL,,,,
24,VIT_08s0056g00800,1943,0.9432,Myb domain protein 60,MYB60,MYB60,vv60044MYB,
25,VIT_13s0074g00390,1955,0.9426,CYP77A2,,,,
26,VIT_03s0038g04500,1943,0.9409,Bifunctional dihydrofolate reductase-thymidylate synthase 1,K13998,,vv10240Pyrimidine_metabolism,vv10670One_carbon_pool_by_folate
27,VIT_09s0002g04170,1945,0.9346,Acyl-CoA synthetases (Acyl-activating enzyme 13),E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
28,VIT_06s0009g01420,1928,0.9314,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
29,VIT_03s0063g01880,1909,0.9276,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
30,VIT_07s0130g00040,1899,0.9165,Myb domain protein 4,MYB4_10,MYB3,vv60044MYB,
31,VIT_13s0019g04460,1888,0.9112,Phenylalanine ammonia-lyase 2 (PAL2),E4_3_1_5,,vv10350Tyrosine_metabolism,vv10360Phenylalanine_metabolism
32,VIT_00s0194g00070,1887,0.9112,Constans-like 10,COL10_1,,vv30009Flower_development,vv34710Circadian_rhythm
33,VIT_06s0061g00230,1895,0.9106,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
34,VIT_10s0003g00620,1890,0.9100,Lipase GDSL,,,,
35,VIT_02s0025g04410,1868,0.9020,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
36,VIT_11s0016g04540,1860,0.9016,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
37,VIT_02s0087g00280,1854,0.8948,Glycosyl transferase family 1 protein,,,,
38,VIT_02s0025g01750,1842,0.8886,Cellulose synthase CSLG3,E2_4_1_12_CSLG3,,vv40006Cell_wall,
39,VIT_18s0001g13080,1808,0.8764,Unknown protein,,,,
40,VIT_04s0008g02250,1818,0.8757,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
41,VIT_08s0056g01070,1790,0.8602,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
42,VIT_06s0009g01410,1786,0.8599,No hit,,,,
43,VIT_14s0066g00400,1781,0.8587,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
44,VIT_04s0023g01090,1768,0.8574,Unknown,,,,
45,VIT_09s0002g05000,1769,0.8538,R protein disease resistance protein,RPROT,,vv34627R_proteins_from_Plant-pathogen_interaction,
46,VIT_17s0000g04210,1754,0.8486,Oleosin OLE-5,,,,
47,VIT_03s0063g02610,1753,0.8465,GRP7 (cold  circadian rhythm  and RNA binding 2),GRP7,,vv50133Primary_active_transporter_cat_A9_to_A18,
48,VIT_17s0053g00780,1740,0.8382,Homeodomain GLABROUS11,HDG11_1,VvHB60,vv60034HB,
49,VIT_14s0030g01950,1737,0.8351,Transferase,,,,
50,VIT_01s0127g00260,1734,0.8345,ATP-citrate synthase,E4_1_3_6,,vv10020Citrate_cycle,
51,VIT_13s0074g00500,1729,0.8293,Cellulose synthase CSLA09,E2_4_1_12_CSLA09,,vv40006Cell_wall,
52,VIT_07s0005g04020,1713,0.8279,Leucine Rich Repeat receptor-like kinase,,,,
53,VIT_10s0003g03330,1718,0.8244,Receptor-like serine-threonine protein kinase,,,,
54,VIT_15s0046g02380,1689,0.8175,CYP86A8,,,,
55,VIT_02s0012g01660,1682,0.8090,ATPase PGP2 (P-glycoprotein 2),PGP2,,vv52010ABC_transporters,
56,VIT_07s0031g01670,1668,0.8085,CYP96A10,,,,
57,VIT_14s0066g02440,1660,0.8031,Glycosyl transferase family 14 protein,,,,
58,VIT_04s0023g03880,1654,0.7967,Unknown,,,,
59,VIT_01s0011g03380,1644,0.7938,Dihydrolipoamide S-acetyltransferase (LTA2),E2_3_1_12,,vv10010Glycolysis,vv10252Alanine_and_aspartate_metabolism
60,VIT_14s0060g01940,1635,0.7925,Epoxide hydrolase,E3_3_2_10,,,
61,VIT_08s0007g09000,1638,0.7917,Glycerol-3-phosphate dehydrogenase,E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
62,VIT_13s0067g00730,1611,0.7756,Carboxylic ester hydrolase,E3_1_1_1,,,
63,VIT_14s0006g02990,1593,0.7707,3-ketoacyl-CoA synthase,,,,
64,VIT_10s0003g03530,1582,0.7691,Lupeol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
65,VIT_05s0102g00370,1572,0.7605,Receptor protein kinase (ACR4),,,,
66,VIT_12s0057g01450,1541,0.7477,Subtilisin protease,,,,
67,VIT_10s0003g05420,1525,0.7389,S-2-hydroxy-acid oxidase  peroxisomal,E1_1_3_15,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
68,VIT_13s0019g02880,1523,0.7368,UDP-glucoronosyl/UDP-glucosyl transferase,,,,
69,VIT_08s0032g00530,1508,0.7289,Rhomboid,,,,
70,VIT_18s0001g14800,1499,0.7277,Lipase 3 (EXL3) family II extracellular,,,,
71,VIT_02s0109g00350,1509,0.7237,Carboxyl-terminal proteinase,,,,
72,VIT_18s0041g00420,1497,0.7221,Patellin-5,,,,
