Vv_m2,2000,1000,VIT_04s0023g03710
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_16s0039g01910,2067,0.9995,Vegetative storage protein win4.5,,,,
2,VIT_06s0080g00760,2064,0.9995,Unknown protein,,,,
3,VIT_18s0001g06220,2058,0.9990,F-box protein (FBW2),,,,
4,VIT_07s0031g01270,2055,0.9990,Ring-H2 finger A2A,RHA2A,,vv60078Other_zf-C3HC4,
5,VIT_08s0007g00710,2060,0.9976,Unknown,,,,
6,VIT_02s0087g00570,2061,0.9942,Unknown protein,,,,
7,VIT_13s0067g02910,2053,0.9937,Non-specific lipid-transfer protein,,,,
8,VIT_01s0011g00080,2051,0.9918,Universal stress protein (USP) family protein,,,,
9,VIT_09s0054g00430,2040,0.9913,Unknown protein,,,,
10,VIT_17s0000g01260,2054,0.9875,Squamosa promoter-binding protein 13 (SPL13),SPL13_1,,vv60055SBP,
11,VIT_01s0137g00410,2047,0.9870,CYP86A2,,,,
12,VIT_18s0001g04520,2054,0.9861,No hit,,,,
13,VIT_02s0012g00660,2031,0.9845,Calcium-binding EF-hand,,,,
14,VIT_07s0031g01680,2039,0.9831,CYP86A1,,,,
15,VIT_17s0000g04260,2046,0.9822,Universal stress protein (USP) family protein,,,,
16,VIT_13s0064g01640,2019,0.9796,Beta-primeverosidase,E3_2_1_149,,vv11000Single_reactions,
17,VIT_12s0059g00150,2020,0.9758,Ankyrin repeat,K10380,,vv50108Accessory_factors_involved_in_transport,
18,VIT_12s0059g00190,2014,0.9753,Beta-expansin (EXPB3),EXPB3,,vv30003Auxin_signaling,
19,VIT_08s0007g08840,2004,0.9738,Glycosyl transferaseHGA1,,,,
20,VIT_16s0022g00370,2019,0.9725,GDP-mannose transporter (GONST1),GONST1,,vv50122Porters_cat_7_to_17,
21,VIT_05s0077g00530,1998,0.9643,Unknown protein,,,,
22,VIT_10s0003g00050,1985,0.9617,Squamosa promoter-binding protein 3 (SPL3),SPL3,,vv60055SBP,
23,VIT_13s0067g00110,1972,0.9550,CYP72A1,K13400,,vv10902Monoterpenoid_biosynthesis,
24,VIT_06s0009g03390,1961,0.9487,No hit,,,,
25,VIT_04s0023g01550,1947,0.9379,Unknown,,,,
26,VIT_07s0031g00520,1943,0.9346,Unknown protein,,,,
27,VIT_06s0004g06890,1935,0.9325,Potassium transporter (KUP1),KUP1,,vv50125Porters_cat_66_to_94,
28,VIT_04s0023g02230,1919,0.9316,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
29,VIT_00s1543g00010<br>VIT_00s0194g00160,1931,0.9302,
30,VIT_15s0048g02680,1887,0.9094,Calmodulin-binding region IQD17,,,,
31,VIT_03s0063g00360,1894,0.9080,Glycoprotein 3-alpha-L-fucosyltransferase,E2_4_1_214,,vv11030Glycan_structures-biosynthesis1,
32,VIT_14s0068g00150,1831,0.8884,No hit,,,,
33,VIT_17s0000g06020,1833,0.8881,TCP family transcription factor TCP14,TCP14_1,,vv60061TCP,
34,VIT_13s0067g02390,1831,0.8854,Unknown,,,,
35,VIT_05s0102g00310,1824,0.8833,GUN4,,,,
36,VIT_06s0004g02390,1814,0.8730,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
37,VIT_08s0007g06270,1803,0.8710,Squamosa promoter-binding protein 9 (SPL9),SPL9_2,,vv60055SBP,
38,VIT_03s0038g02400,1797,0.8656,Protein kinase,,,,
39,VIT_00s0361g00090,1790,0.8643,Phototropic-responsive NPH3 protein,,,,
40,VIT_11s0016g05300,1780,0.8637,Heme oxygenase 1,E1_14_99_3,,vv10860Porphyrin_and_chlorophyll_metabolism,
41,VIT_12s0059g02420,1780,0.8628,Peroxidase ATP11A (gb|X98802).,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
42,VIT_02s0012g02190,1771,0.8551,Cellulose synthase CSLD2,E2_4_1_12_CSLD2,,vv40006Cell_wall,
43,VIT_09s0002g02220,1767,0.8549,Protein kinase CDG1,,,,
44,VIT_18s0041g00840,1759,0.8514,UDP-glucose: anthocyanidin 5 3-O-glucosyltransferase,E2_4_1_238,,vv10941Flavonoid_biosynthesis,vv10942Anthocyanin_biosynthesis
45,VIT_15s0046g02300,1748,0.8400,Beta-cyanoalanine synthase,E2_5_1_47,,vv10272Cysteine_metabolism,vv10450Selenoamino_acid_metabolism
46,VIT_15s0021g02110,1742,0.8367,AP2 domain-containing transcription factor TINY,TINY_8,VvERF029,vv30008Ethylene_signaling,vv60003AP2_EREBP
47,VIT_12s0057g01450,1729,0.8357,Subtilisin protease,,,,
48,VIT_14s0066g00400,1721,0.8330,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
49,VIT_18s0001g00560,1711,0.8330,Alpha-amylase / 1 4-alpha-D-glucan glucanohydrolase,E3_2_1_1,,vv10500Starch_and_sucrose_metabolism,
50,VIT_09s0002g03050,1703,0.8307,Lipase GDSL,,,,
51,VIT_16s0039g01940,1730,0.8285,No hit,,,,
52,VIT_08s0007g00700,1709,0.8236,PCS1 (promotion of cell survival1) peptidase,,,,
53,VIT_18s0001g11710,1698,0.8195,Photosystem II PsbO protein,K02716,,vv10195Photosynthesis,vv50113Thylakoid_targeting_pathway
54,VIT_03s0038g03570,1680,0.8143,Monocopper oxidase SKS5 (SKU5 Similar 5),SKS5,,vv50109Incompletely_characterized_transport_systems,
55,VIT_11s0016g05340,1674,0.8110,Ethylene-responsive transcription factor SHINE 3,SHINE3_2,VvERF043,vv30008Ethylene_signaling,vv60003AP2_EREBP
56,VIT_01s0010g01870,1674,0.8083,Salicylic acid-induced fragment 1 protein,,,,
57,VIT_11s0016g00290,1641,0.7951,Pectinesterase PME3,E3_1_1_11,,vv40006Cell_wall,
58,VIT_01s0127g00680,1643,0.7949,SRO2 (similar to rcd one 2),E2_4_2_30,,vv10760Nicotinate_and_nicotinamide_metabolism,
59,VIT_13s0067g01930,1644,0.7938,Unknown protein,,,,
60,VIT_11s0016g04300,1628,0.7895,Nudix hydrolase 20  chloroplast precursor (AtNUDT20),,,,
61,VIT_07s0005g05180,1608,0.7821,No hit,,,,
62,VIT_14s0066g02270,1612,0.7769,Endonuclease/exonuclease/phosphatase family protein,E3_1_30_x,,,
63,VIT_13s0019g01830,1608,0.7738,Calmodulin binding protein,,,,
64,VIT_08s0007g02590,1595,0.7728,Unknown,,,,
65,VIT_05s0124g00100,1603,0.7722,Unknown,,,,
66,VIT_13s0019g00260,1601,0.7708,Photosystem II reaction center PsbP,K02717,,vv10195Photosynthesis,vv50135Primary_active_transporter_cat_D3_to_E2
67,VIT_08s0007g00160,1582,0.7698,Glycosyltransferase family 14,,,,
68,VIT_06s0004g04410,1590,0.7681,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
69,VIT_08s0007g07110,1598,0.7679,Unknown protein,,,,
70,VIT_05s0094g00470,1581,0.7678,Zinc finger (C3HC4-type ring finger),ZFC3HC4_201,,vv60078Other_zf-C3HC4,
71,VIT_13s0019g02500,1585,0.7657,No hit,,,,
72,VIT_13s0067g01350,1581,0.7605,Basic helix-loop-helix (bHLH) family,BHLHDOM_16,,vv60011BHLH,
73,VIT_18s0041g00350,1569,0.7598,Dienelactone hydrolase,E3_1_1_45,,vv11000Single_reactions,
74,VIT_07s0104g01320,1566,0.7554,Transport inhibitor response 1,TIR1,,vv30003Auxin_signaling,
75,VIT_10s0042g01020,1556,0.7492,Isochorismatase,E3_3_2_1,,vv10130Ubiquinone_biosynthesis,
76,VIT_11s0037g00320,1538,0.7430,Serine carboxypeptidase S10,,,,
77,VIT_07s0129g00380,1525,0.7353,Phototropic-responsive NPH3,BTBNPH3_1,,vv60093TRAF,
78,VIT_05s0049g01410,1511,0.7300,Phosphate transporter 1,PHO1,,vv50125Porters_cat_66_to_94,
79,VIT_10s0003g01770,1498,0.7192,Heat shock transcription factor A4A,HSFA4A_1,,vv60037HSF,
80,VIT_15s0046g03240,1490,0.7153,Unknown protein,,,,
81,VIT_05s0062g01140,1468,0.7130,Aromatic and neutral transporter 1,ANT1,,vv50123Porters_cat_18_to_29,
82,VIT_18s0001g06690,1482,0.7128,Gibberellin 20 oxidase 2,E1_14_11_12,,vv10904Diterpenoid_biosynthesis,
83,VIT_06s0080g00830,1463,0.7119,Unknown protein,,,,
84,VIT_05s0062g00430,1473,0.7082,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
85,VIT_10s0071g00580,1463,0.7081,Zfwd2 protein (ZFWD2),ZFWD2_4,,vv60018C3H,
86,VIT_11s0016g05230,1448,0.6992,Allyl alcohol dehydrogenase,,,,
87,VIT_06s0004g07220,1430,0.6888,Indole-3-acetate beta-glucosyltransferase,E2_4_1_121,,vv11002Auxin_biosynthesis,
88,VIT_04s0023g01170,1429,0.6864,Unknown protein,,,,
89,VIT_00s0820g00020,1418,0.6860,Anthocyanidine rhamnosyl-transferase,RHATR,,vv10942Anthocyanin_biosynthesis,
90,VIT_10s0092g00500,1416,0.6821,CYP71D10,,,,
91,VIT_07s0129g00070<br>VIT_07s0129g00150,1420,0.6817,
92,VIT_17s0000g01120,1411,0.6807,Unknown protein,,,,
93,VIT_01s0026g00570,1385,0.6720,Bet v I allergen,,,,
94,VIT_11s0016g03660,1390,0.6708,Glucose transporter 2 plastidic,PGTR2,,vv50121Porters_cat_1_to_6,
95,VIT_11s0016g01300,1395,0.6700,TT2 (transparent testa 2),TT2_4,MYBPAR,vv44110Cell_cycle,vv60044MYB
96,VIT_14s0081g00060,1386,0.6699,Photosystem II reaction centre W (PsbW),K08903,,vv10195Photosynthesis,vv50135Primary_active_transporter_cat_D3_to_E2
