Vv_m2,2000,1000,VIT_10s0003g00600
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_14s0128g00210,2086,1.0000,Xyloglucanase inhibitor,,,,
2,VIT_12s0059g01830,2069,1.0000,Unknown,,,,
3,VIT_05s0102g00370,2075,1.0000,Receptor protein kinase (ACR4),,,,
4,VIT_17s0000g09270,2067,0.9981,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
5,VIT_14s0068g02010,2060,0.9981,IMP dehydrogenase/GMP reductase,E1_1_1_205,,vv10230Purine_metabolism,
6,VIT_13s0067g02910,2055,0.9981,Non-specific lipid-transfer protein,,,,
7,VIT_03s0063g00670,2066,0.9976,Cyclin-dependent kinase inhibitor ICK5,ICK5,,vv44110Cell_cycle,
8,VIT_07s0031g01680,2062,0.9961,CYP86A1,,,,
9,VIT_03s0038g01830,2057,0.9952,Proline-rich protein 4,,,,
10,VIT_06s0080g00760,2061,0.9947,Unknown protein,,,,
11,VIT_06s0009g01620,2057,0.9932,Harpin-induced protein,,,,
12,VIT_11s0016g04160,2055,0.9913,Sulfate transporter 3.5,SULTR3_5,,vv50124Porters_cat_30_to_64,
13,VIT_12s0057g01450,2072,0.9904,Subtilisin protease,,,,
14,VIT_08s0007g00700,2036,0.9874,PCS1 (promotion of cell survival1) peptidase,,,,
15,VIT_13s0067g02390,2014,0.9748,Unknown,,,,
16,VIT_15s0046g01960,2006,0.9728,Hydroquinone glucosyltransferase,E2_4_1_218,,vv10500Starch_and_sucrose_metabolism,
17,VIT_10s0116g01580,1999,0.9671,No hit,,,,
18,VIT_19s0014g05000,2001,0.9634,Zinc finger (C2H2 type) family,C2H2FAM_16,,vv60017C2H2,
19,VIT_17s0000g02660,1981,0.9547,Myb domain protein 6,MYB6_2,MYBC2-L2,vv60044MYB,
20,VIT_09s0002g03130,1973,0.9541,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
21,VIT_01s0137g00410,1966,0.9498,CYP86A2,,,,
22,VIT_14s0066g02270,1963,0.9492,Endonuclease/exonuclease/phosphatase family protein,E3_1_30_x,,,
23,VIT_18s0001g14910,1965,0.9484,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
24,VIT_03s0038g01960,1944,0.9455,Proline-rich family protein,,,,
25,VIT_04s0008g05440,1945,0.9387,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
26,VIT_10s0597g00050,1944,0.9382,Heat shock transcription factor B2A,HSFB2A_3,,vv60037HSF,
27,VIT_02s0025g01190,1934,0.9334,Extra-large G-protein (XLG1),,,,
28,VIT_07s0031g01670,1939,0.9318,CYP96A10,,,,
29,VIT_13s0073g00140,1930,0.9315,Ovate family protein 13 OFP13,OFP13_2,,vv60086OFP,
30,VIT_04s0023g02840,1908,0.9285,Leucine-rich repeat disease resistance protein,,,,
31,VIT_19s0027g01810,1932,0.9275,Invertase/pectin methylesterase inhibitor,PMEI,,vv40006Cell_wall,
32,VIT_12s0134g00640,1918,0.9230,Anthocyanidin 3-O-glucoside-6''-O-malonyltransferase,E2_3_1_171,,vv10942Anthocyanin_biosynthesis,
33,VIT_02s0012g00660,1911,0.9170,Calcium-binding EF-hand,,,,
34,VIT_13s0019g01520,1896,0.9159,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
35,VIT_10s0003g05420,1881,0.9065,S-2-hydroxy-acid oxidase  peroxisomal,E1_1_3_15,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
36,VIT_07s0005g05260<br>VIT_07s0005g05230,1877,0.9063,
37,VIT_01s0026g00570,1880,0.9038,Bet v I allergen,,,,
38,VIT_10s0042g00820,1845,0.8930,Transparent testa16,TT16_2,,vv60042MADS,
39,VIT_18s0001g14660,1851,0.8920,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
40,VIT_09s0054g00430,1831,0.8790,Unknown protein,,,,
41,VIT_09s0002g08590,1800,0.8746,Pentatricopeptide (PPR) repeat-containing protein,,,,
42,VIT_04s0008g06000,1804,0.8715,Ethylene-responsive transcription factor ERF003,ERF003_2,VvERF045,vv30008Ethylene_signaling,vv60003AP2_EREBP
43,VIT_04s0008g03640,1789,0.8605,FAD-binding domain-containing protein,,,,
44,VIT_19s0090g00730,1779,0.8569,No hit,,,,
45,VIT_07s0129g00070<br>VIT_07s0129g00150,1753,0.8530,
46,VIT_12s0142g00640,1749,0.8490,FLS2 (flagellin-sensitive 2),K13420,,vv34626Plant-pathogen_interaction,
47,VIT_05s0124g00100,1739,0.8434,Unknown,,,,
48,VIT_04s0069g01120,1738,0.8412,Acyl-activating enzyme 7,E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
49,VIT_00s0225g00070,1739,0.8397,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
50,VIT_08s0105g00270,1726,0.8294,NC domain-containing protein,,,,
51,VIT_17s0000g01000,1714,0.8284,Amino acid-binding ACT,,,,
52,VIT_15s0046g02380,1702,0.8202,CYP86A8,,,,
53,VIT_13s0067g00400,1694,0.8164,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
54,VIT_02s0012g00150,1693,0.8132,NAK-type protein kinase,,,,
55,VIT_09s0002g06750,1673,0.8106,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
56,VIT_12s0059g02310,1665,0.8075,PDF2 (protodermal factor2),PDF2_4,VvHB44,vv60034HB,
57,VIT_14s0128g00510<br>VIT_14s0128g00550,1668,0.8015,
58,VIT_05s0077g00730,1655,0.7999,WRKY DNA-binding protein 48,WRKY48_1,VvWRKY14,vv60066WRKY,
59,VIT_09s0002g03140,1665,0.7978,Lipase GDSL,,,,
60,VIT_03s0088g01150,1644,0.7969,Squalene monooxygenase,E1_14_99_7,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
61,VIT_15s0021g02300,1628,0.7903,Squamosa promoter-binding protein 8 (SPL8),SPL8,,vv60055SBP,
62,VIT_03s0038g01410,1646,0.7902,Aquaporin PIP PIP1A,PIP1A,,vv50101Channels_and_pores,
63,VIT_04s0044g00190,1610,0.7819,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
