Vv_m2,2000,1000,VIT_03s0063g01880
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_11s0016g04540,2053,1.0000,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
2,VIT_13s0067g00730,2064,1.0000,Carboxylic ester hydrolase,E3_1_1_1,,,
3,VIT_09s0002g03140,2078,1.0000,Lipase GDSL,,,,
4,VIT_04s0043g00560,2062,1.0000,DD1A protein,,,,
5,VIT_07s0005g01670,2067,1.0000,No hit,,,,
6,VIT_00s0399g00020,2070,1.0000,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
7,VIT_13s0074g00390,2063,1.0000,CYP77A2,,,,
8,VIT_02s0025g02620,2079,1.0000,BDG1 (BODYGUARD1) hydrolase,,,,
9,VIT_01s0026g00570,2085,1.0000,Bet v I allergen,,,,
10,VIT_02s0025g04550,2069,1.0000,Glucose-methanol-choline (GMC) oxidoreductase,E1_1_99_1,,vv10260Glycine_serine_and_threonine_metabolism,
11,VIT_12s0059g01590,2078,0.9995,Lipase GDSL,,,,
12,VIT_03s0038g01830,2058,0.9976,Proline-rich protein 4,,,,
13,VIT_14s0066g00400,2068,0.9971,Chalcone isomerase,E5_5_1_6,,vv10941Flavonoid_biosynthesis,
14,VIT_18s0001g14910,2055,0.9966,Mannitol dehydrogenase,E1_1_1_67,,vv10051Fructose_and_mannose_metabolism,
15,VIT_04s0008g05440,2066,0.9957,Ethylene-responsive transcription factor SHINE 3,SHINE3_1,VvERF044,vv30008Ethylene_signaling,vv60003AP2_EREBP
16,VIT_00s0207g00010,2059,0.9956,Anthranilate N-benzoyltransferase protein 1,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
17,VIT_02s0012g01660,2054,0.9952,ATPase PGP2 (P-glycoprotein 2),PGP2,,vv52010ABC_transporters,
18,VIT_15s0046g02410,2063,0.9947,Aquaporin TMP-C,TMPC,,vv50101Channels_and_pores,
19,VIT_04s0008g03950,2053,0.9947,RD22,,,,
20,VIT_16s0050g00830,2034,0.9898,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
21,VIT_05s0102g00370,2027,0.9893,Receptor protein kinase (ACR4),,,,
22,VIT_10s0003g00620,2029,0.9888,Lipase GDSL,,,,
23,VIT_17s0000g00130,2034,0.9850,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
24,VIT_08s0058g01210,2030,0.9831,Non-specific lipid transfer protein LTP1,LTP1,,,
25,VIT_14s0219g00280,2020,0.9796,Glycerol-3-phosphate dehydrogenase (NAD+),E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
26,VIT_13s0019g05290,2017,0.9735,Acyl-CoA binding,,,,
27,VIT_08s0007g09000,1999,0.9676,Glycerol-3-phosphate dehydrogenase,E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
28,VIT_09s0018g01650,1983,0.9640,Wrinkled1 (AP2/ERBP),WRINKLED1_1,VvAP2-06,vv30008Ethylene_signaling,vv60003AP2_EREBP
29,VIT_18s0001g14660,1968,0.9475,P-glycoprotein 13,PGP13,,vv52010ABC_transporters,
30,VIT_14s0108g00740,1975,0.9472,GASA4,GASA4,,vv30010Gibberellin_signaling,
31,VIT_04s0023g02810,1955,0.9417,Aldehyde dehydrogenase 3B1,E1_2_1_3,vv10561Glycerolipid_metabolism,vv10010Glycolysis,vv10071Fatty_acid_metabolism
32,VIT_13s0067g00400,1942,0.9391,Anthranilate synthase alpha 1,E4_1_3_27,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
33,VIT_02s0025g04410,1923,0.9335,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
34,VIT_12s0059g02310,1924,0.9331,PDF2 (protodermal factor2),PDF2_4,VvHB44,vv60034HB,
35,VIT_10s0003g02120,1911,0.9295,Lipase GDSL,,,,
36,VIT_18s0122g01280,1921,0.9267,Niemann-Pick C1 protein precursor,NPC1,,vv50121Porters_cat_1_to_6,
37,VIT_04s0008g02870,1898,0.9205,Transcription factor,TRIHELIXDOM_12,,vv60062Trihelix,
38,VIT_17s0000g10060,1908,0.9200,Lipase GDSL,,,,
39,VIT_16s0039g00010,1899,0.9169,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
40,VIT_08s0007g01750,1877,0.9134,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,E6_4_1_2,,vv10061Fatty_acid_biosynthesis,vv10620Pyruvate_metabolism
41,VIT_07s0005g01790,1886,0.9116,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
42,VIT_08s0040g03400,1888,0.9108,Short-chain dehydrogenase/reductase,,,,
43,VIT_19s0090g00710,1872,0.9101,No hit,,,,
44,VIT_05s0049g00010,1880,0.9095,Cellulose synthase CSLG2,E2_4_1_12_CSLG2,,vv40006Cell_wall,
