Vv_m2,2000,1000,VIT_17s0000g06410
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_02s0012g01190,2071,1.0000,Zinc finger (C2H2 type) family,C2H2FAM_14,,vv60017C2H2,
2,VIT_08s0007g06870,2056,1.0000,Zinc finger protein 8,ZFP8,,vv60017C2H2,
3,VIT_19s0014g02070,2064,0.9995,flavonol 3-O-glucosyltransferase,E2_4_1_91,,vv10941Flavonoid_biosynthesis,
4,VIT_17s0000g04600,2072,0.9990,Strictosidine synthase,E4_3_3_2,,vv10900Terpenoid_biosynthesis,vv10902Monoterpenoid_biosynthesis
5,VIT_12s0059g01730,2067,0.9990,Unknown protein,,,,
6,VIT_09s0002g07030,2063,0.9990,TMM (too many mouths),TMM,,,
7,VIT_12s0028g02480,2047,0.9966,Lipase GDSL,,,,
8,VIT_01s0011g06430,2064,0.9957,NADPH-dependent codeinone reductase,E1_1_1_247,,vv10950Alkaloid_biosynthesis_I,
9,VIT_02s0087g00210,2063,0.9952,Constitutive disease resistance 1,,,,
10,VIT_01s0011g03490,2062,0.9952,3-ketoacyl-CoA synthase,,,,
11,VIT_01s0026g01850,2048,0.9927,Pyrrolo-quinoline quinone,K05889,,vv50101Channels_and_pores,
12,VIT_15s0048g02510,2048,0.9894,Basic helix-loop-helix (bHLH) family,BHLHDOM_35,,vv60011BHLH,
13,VIT_19s0014g01060,2058,0.9889,Sesquiterpene synthase,E2_5_1_21,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
14,VIT_01s0137g00750,2047,0.9884,Protein phosphatase 2C,E3_1_3_16,,,
15,VIT_18s0122g00170,2044,0.9865,Diphenol oxidase,E1_10_3_1,,vv10350Tyrosine_metabolism,vv50109Incompletely_characterized_transport_systems
16,VIT_16s0098g00740,2037,0.9845,Ovate family protein 10 OFP10,OFP10_1,,vv60086OFP,
17,VIT_09s0054g01400,2024,0.9797,No hit,,,,
18,VIT_09s0054g00470,2031,0.9774,Transposase_MuDR,,,,
19,VIT_01s0026g01840,2003,0.9766,Quinonprotein alcohol dehydrogenase,,,,
20,VIT_13s0019g01160,2029,0.9750,Cinnamoyl-CoA reductase,E1_2_1_44,,vv10940Phenylpropanoid_biosynthesis,
21,VIT_11s0103g00510,2008,0.9729,Aspartyl protease,E3_4_23_x,,,
22,VIT_12s0055g00930,1991,0.9656,Heavy-metal-associated domain-containing protein,,,,
23,VIT_05s0124g00310,2002,0.9630,Male sterility 2,,,,
24,VIT_00s0179g00330,1978,0.9556,Unknown protein,,,,
25,VIT_12s0057g00720,1974,0.9536,F-box protein GID2,,,,
26,VIT_08s0007g03450,1971,0.9531,TFL1B protein [Vitis vinifera],TFL1,,vv30009Flower_development,
