Vv_m2,2000,1000,VIT_04s0008g06000
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_02s0109g00230,2060,1.0000,Early-responsive to dehydration protein / ERD protein,,,,
2,VIT_11s0052g00630,2068,1.0000,Metallothionein,,,,
3,VIT_12s0142g00160,2078,1.0000,Unknown protein,,,,
4,VIT_07s0031g00420,2065,1.0000,SHN1 (SHINE 1),SHINE1_2,,vv30008Ethylene_signaling,vv60003AP2_EREBP
5,VIT_17s0000g00430,2062,0.9995,Basic helix-loop-helix (bHLH) family,BHLHDOM_62,,vv60011BHLH,
6,VIT_07s0031g01160,2076,0.9990,Hyperosmotically inducible periplasmic protein,K04065,,vv50131Primary_active_transporter_cat_A2_to_A4,
7,VIT_11s0016g03760,2053,0.9981,Unknown protein,,,,
8,VIT_17s0000g01930,2047,0.9966,Potassium transporter 2,KUP2,,vv50125Porters_cat_66_to_94,
9,VIT_06s0004g04490,2065,0.9957,Unknown protein,,,,
10,VIT_14s0006g01280,2045,0.9951,Myb domain protein 113,MYB113_5,MYBA7,vv60044MYB,
11,VIT_03s0038g03570,2062,0.9947,Monocopper oxidase SKS5 (SKU5 Similar 5),SKS5,,vv50109Incompletely_characterized_transport_systems,
12,VIT_14s0083g01130,2057,0.9932,MAP3K-like protein kinase  putative  expressed,,,,
13,VIT_05s0077g00730,2043,0.9884,WRKY DNA-binding protein 48,WRKY48_1,VvWRKY14,vv60066WRKY,
14,VIT_05s0020g01490,2040,0.9869,Rapid ALkalinization Factor RALFL33,,,,
15,VIT_08s0040g02610,2043,0.9794,Unknown,,,,
16,VIT_04s0008g03820,2029,0.9778,Membrane protein,,,,
17,VIT_18s0001g03120,2001,0.9681,Ethylene-responsive transcription factor ERF003,ERF003_6,,vv30008Ethylene_signaling,vv60003AP2_EREBP
18,VIT_08s0040g01820,2006,0.9672,No hit,,,,
19,VIT_04s0043g00510,1986,0.9613,Ethylene-responsive transcription factor ERF003,ERF003_1,,vv30008Ethylene_signaling,vv60003AP2_EREBP
20,VIT_13s0067g02930,1970,0.9508,Expansin [Vitis labrusca x Vitis vinifera] EXPA8,EXPA8,,vv30003Auxin_signaling,
21,VIT_12s0028g03900,1956,0.9504,No hit,,,,
22,VIT_18s0001g12830,1957,0.9482,1 4-beta-mannan endohydrolase,E3_2_1_78,,vv10051Fructose_and_mannose_metabolism,
23,VIT_12s0057g00700,1949,0.9461,Glucan endo-1 3-beta-glucosidase 3 precursor,E3_2_1_39,,vv10500Starch_and_sucrose_metabolism,
24,VIT_18s0001g03240,1946,0.9428,DREB sub A-5 of ERF/AP2 transcription factor,ERF012,VvERF008,vv30008Ethylene_signaling,vv60003AP2_EREBP
25,VIT_17s0000g05580,1954,0.9421,Isopiperitenol dehydrogenase,E1_1_1_223,,vv10902Monoterpenoid_biosynthesis,
26,VIT_18s0001g01130,1930,0.9310,Alpha-expansin 1 precursor,EXPA1,,vv30003Auxin_signaling,
27,VIT_08s0007g00710,1903,0.9287,Unknown,,,,
28,VIT_02s0025g00820,1909,0.9276,Cation/hydrogen exchanger (CHX18),CHX18,,vv50124Porters_cat_30_to_64,
29,VIT_00s0271g00110,1911,0.9241,flavodoxin-like quinone reductase 1,FQR1,,vv30003Auxin_signaling,
30,VIT_13s0067g00140,1921,0.9240,Proline-rich family protein,BHSH1,,vv60013BHSH,
31,VIT_05s0020g04690,1869,0.9126,IAA7,IAA7,,vv30003Auxin_signaling,vv60008AUXIAA
32,VIT_12s0059g02240,1899,0.9121,Unknown,,,,
33,VIT_02s0033g00450<br>VIT_02s0033g00380<br>VIT_02s0033g00390<br>VIT_02s0033g00410,1887,0.9107,
34,VIT_17s0000g06360,1888,0.9094,Alpha-expansin 3,EXPA3,,vv30003Auxin_signaling,
35,VIT_19s0015g01300,1882,0.9083,Amino acid permease 7,AAP7,,vv50123Porters_cat_18_to_29,
36,VIT_06s0009g01620,1867,0.9072,Harpin-induced protein,,,,
37,VIT_04s0023g03230,1874,0.9036,Auxin-responsive SAUR9,SAUR9,,vv30003Auxin_signaling,
38,VIT_01s0011g05110,1860,0.9012,Major latex protein 22,,,,
39,VIT_13s0067g00700,1864,0.8987,Hydrolase  alpha/beta fold,,,,
40,VIT_13s0074g00040,1848,0.8971,Phytol kinase 2  chloroplast precursor,VTE5,,vv10860Porphyrin_and_chlorophyll_metabolism,
41,VIT_05s0094g00350,1843,0.8831,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
42,VIT_06s0004g02560,1833,0.8791,Kiwellin Ripening-related protein grip22,,,,
43,VIT_10s0003g00600,1831,0.8765,Lipase GDSL,,,,
44,VIT_04s0023g02150,1808,0.8747,Phosphatidic acid phosphatase / PAP2,E3_1_3_4,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
45,VIT_08s0007g08840,1799,0.8733,Glycosyl transferaseHGA1,,,,
46,VIT_03s0038g03730,1794,0.8667,Niemann-Pick C1 protein precursor,NPC1,,vv50121Porters_cat_1_to_6,
47,VIT_11s0037g01230,1799,0.8666,Basic helix-loop-helix (bHLH) family,BHLHDOM_32,,vv60011BHLH,
48,VIT_02s0012g02820,1766,0.8577,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
49,VIT_01s0010g02750,1758,0.8472,Lipoxygenase,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
50,VIT_06s0004g05730,1753,0.8469,Universal stress protein (USP) family protein,,,,
51,VIT_06s0004g00590,1745,0.8467,Lysine decarboxylase,E4_1_1_18,,vv10300Lysine_biosynthesis,
52,VIT_06s0004g05800,1730,0.8402,Phosphatidic acid phosphatase / PAP2,E3_1_3_4,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
53,VIT_05s0062g00760,1743,0.8396,Receptor kinase RHG4,,,,
54,VIT_08s0007g08010,1724,0.8373,No hit,,,,
55,VIT_18s0001g06690,1719,0.8300,Gibberellin 20 oxidase 2,E1_14_11_12,,vv10904Diterpenoid_biosynthesis,
56,VIT_06s0004g02390,1711,0.8282,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
57,VIT_10s0003g04950,1712,0.8259,Esterase/lipase/thioesterase,,,,
58,VIT_00s0274g00080,1681,0.8133,Benzoquinone reductase,E1_6_5_6,,vv10740Riboflavin_metabolism,
59,VIT_13s0019g01520,1682,0.8122,Protease inhibitor/seed storage/lipid transfer protein (LTP),,,,
60,VIT_16s0100g00400,1688,0.8115,Ethylene-responsive transcription factor ERF025,ERF025,VvERF019,vv30008Ethylene_signaling,vv60003AP2_EREBP
61,VIT_15s0046g03600,1681,0.8113,(+)-neomenthol dehydrogenase,E1_1_1_208,,vv10902Monoterpenoid_biosynthesis,
62,VIT_03s0097g00460,1678,0.8091,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
63,VIT_02s0012g02810,1665,0.8071,CYP76C4,,,,
64,VIT_00s1682g00010,1652,0.7996,Copper amine oxidase,E1_4_3_4,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv10340Histidine_metabolism
65,VIT_18s0001g09700,1646,0.7925,F-box protein GID2,,,,
66,VIT_13s0047g00230,1607,0.7797,Pectinesterase family,E3_1_1_11,,vv40006Cell_wall,
67,VIT_07s0005g03310,1615,0.7761,Cofilin,K05765,,vv44810Regulation_of_actin_cytoskeleton,
68,VIT_02s0025g03100,1601,0.7742,Cinnamyl alcohol dehydrogenase,E1_1_1_195,,vv10940Phenylpropanoid_biosynthesis,
