Vv_m2,2000,1000,VIT_01s0026g02770
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_17s0000g04180,2072,1.0000,TCP family transcription factor BRC2/TCP12 (branched2),TCP12,,vv60061TCP,
2,VIT_18s0041g00790,2071,1.0000,UDP-glycosyltransferase 88B1,,,,
3,VIT_03s0167g00100,2070,1.0000,MADS-box protein SVP (short vegetative phase),SVP_6,,vv30009Flower_development,vv60042MADS
4,VIT_01s0137g00160,2062,1.0000,B-keto acyl reductase,,,,
5,VIT_10s0003g01590,2067,1.0000,Unknown protein,,,,
6,VIT_00s0228g00060,2065,1.0000,Unknown,,,,
7,VIT_06s0080g00290,2060,1.0000,TFL1 (Terminal flower 1),TFL1,,vv30009Flower_development,
8,VIT_18s0122g01460,2072,1.0000,CYP87A3,,,,
9,VIT_01s0011g02920,2071,0.9995,TCP family transcription factor DICHOTOMA,DICHOTOMA,,vv30009Flower_development,vv60061TCP
10,VIT_02s0025g04650,2065,0.9995,MADS-box agamous-like 19,AGL19,,vv60042MADS,
11,VIT_04s0008g03540,2058,0.9995,Transducin protein,,,,
12,VIT_05s0020g01450,2062,0.9985,Heavy-metal-associated domain-containing protein,,,,
13,VIT_03s0038g02660,2063,0.9981,Unknown protein,,,,
14,VIT_03s0038g00310,2061,0.9961,Short internodes,SHI_1,,vv60059SRS,
15,VIT_18s0041g01530,2061,0.9961,CYP706A12,,,,
16,VIT_12s0034g01670,2066,0.9957,No hit,,,,
17,VIT_18s0001g14780,2063,0.9957,Lipase 3 (EXL3) family II extracellular,,,,
18,VIT_16s0050g00070,2050,0.9951,Myb domain protein 17,MYB17_1,MYB17B,vv60044MYB,
19,VIT_03s0038g01860,2054,0.9947,Proline-rich protein 4,,,,
20,VIT_05s0020g00520,2055,0.9937,Alpha-L-arabinofuranosidase,E3_2_1_55,,vv10520Nucleotide_sugars_metabolism,
21,VIT_14s0083g00130,2073,0.9933,RAV1-like ethylene-responsive transcription factor,RAV1_2,VvRAV2,vv30008Ethylene_signaling,vv60003AP2_EREBP
22,VIT_07s0031g01670,2058,0.9923,CYP96A10,,,,
23,VIT_19s0014g04810<br>VIT_19s0014g04800,2056,0.9923,
24,VIT_16s0022g01580,2041,0.9922,3-ketoacyl-CoA synthase,,,,
25,VIT_07s0005g03530,2054,0.9899,Ribulose bisphosphate carboxylase  large chain,E4_1_1_39,,vv10710Carbon_fixation,
26,VIT_16s0022g01570,2033,0.9888,3-ketoacyl-CoA synthase,,,,
27,VIT_09s0054g01330,2060,0.9880,Beta-amyrin synthase,E5_4_99_BAS,,vv10900Terpenoid_biosynthesis,
28,VIT_00s0349g00050,2027,0.9811,Protein FD (BZIP transcription factor 14),FD_2,,vv30009Flower_development,vv60012BZIP
29,VIT_13s0047g00360,2029,0.9802,6-hydroxyisobutyryl-coenzyme A hydrolase,E3_1_2_4,,vv10280Valine_leucine_and_isoleucine_degradation,vv10410Beta-alanine_metabolism
30,VIT_09s0002g03150,2016,0.9791,Lipase GDSL,,,,
31,VIT_18s0041g01810,2026,0.9783,Taxadiene 5-alpha-hydroxylase,E1_14_99_37,,vv10904Diterpenoid_biosynthesis,
